GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
store-discount-api,org.shop.util,TimeUtil,99,0,0,0,11,0,5,0,5,0
store-discount-api,org.shop.config,WebConfig,36,23,4,0,5,2,3,2,1,2
store-discount-api,org.shop.config,SpringFoxConfig,0,35,0,0,0,8,0,3,0,3
store-discount-api,org.shop.model,Product,35,3,0,0,6,1,10,1,10,1
store-discount-api,org.shop.model,Order,88,3,6,0,17,1,15,1,12,1
store-discount-api,org.shop.model,ProductType,0,24,0,0,0,2,0,1,0,1
store-discount-api,org.shop.model,LineItem,48,0,0,0,8,0,12,0,12,0
store-discount-api,org.shop.model,User,67,3,6,0,15,1,18,1,14,1
store-discount-api,org.shop.model,UserType,0,34,0,0,0,4,0,1,0,1
store-discount-api,org.shop.model,Discount,28,3,0,0,5,1,8,1,8,1
store-discount-api,org.shop.model,Bill,70,3,4,0,12,1,19,1,17,1
store-discount-api,org.shop.model.key,LineItemKey,109,0,22,0,4,0,19,0,8,0
store-discount-api,org.shop,StoreDiscountApiApplication,0,8,0,0,0,3,0,2,0,2
store-discount-api,org.shop.controller,OrderController,21,3,2,0,6,1,3,1,2,1
store-discount-api,org.shop.controller,IndexController,5,0,0,0,2,0,2,0,2,0
store-discount-api,org.shop.service,UserServiceImpl,4,3,0,0,2,1,2,1,2,1
store-discount-api,org.shop.service,OrderServiceImpl,5,3,0,0,1,1,1,1,1,1
store-discount-api,org.shop.service,DiscountServiceImpl,257,3,10,0,57,1,11,1,6,1
